favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
36,Facebook,今こそ赤羽一嘉さんの国政復帰を期待しています！ http://t.co/Llp1q0GI,,False,Mon Dec 03 04:11:12 +0000 2012,116,275452098072674306
13744,Twitter for iPhone,"台湾の皆さん、古くからの友人のいつも変わらぬ友情は、私たちにとって復興に向けた大きな力となります。
暴雨や地震は我々の共通の大きな課題ですが、互いに協力して乗り越えていくことを希望します。 https://t.co/tHRh4j0kz4",,False,Tue Jul 10 10:16:06 +0000 2018,4264,1016627113313484800
4095,Twitter Web App,La ringrazio di cuore per le calorose parole di condoglianze e solidarietà. Il Giappone e l’Italia hanno in comune… https://t.co/oiSoCrdn0I,,False,Thu Jul 12 08:04:21 +0000 2018,1315,1017318734883536896
45,Facebook,新しい写真をFacebookに投稿しました http://t.co/jm6u6uC7CJ,,False,Fri Mar 15 11:16:39 +0000 2013,136,312522729704275969
837,Facebook,　いかなる事態にあっても、国民の命と平和な暮らしは守り抜いていく。その覚悟のもと、本日、新しい安全保障法制の整備のための基本方針を閣議決定致しました。... http://t.co/WlKL1TBLxn,,False,Tue Jul 01 11:33:33 +0000 2014,1639,483936439798079488
28,Facebook,新しい写真をFacebookに投稿しました http://t.co/i9kkIEKHrX,,False,Sun Jul 14 09:46:18 +0000 2013,33,356348923989860352
69,Twitter Web Client,（河野談話について）「いわゆる慰安婦の問題については、仲間とずっと勉強してきた。結果は、これを示すものはまったくなかったということ。証言についても裏付けが取れたものもない…」（安倍晋三、公開討論会にて）,,False,Sat Sep 15 06:07:05 +0000 2012,231,246852619627282432
73732,Twitter for iPhone,やったー！チームプレーの大勝利。感動をありがとう！,AbeShinzo,False,Tue Jun 19 14:07:03 +0000 2018,24590,1009075090581946368
7093,Twitter for iPhone,"《緊急番組出演情報》
本日9/16(日)
21:00〜22:00
自民党総裁選ネット討論会が開催されます。
（ニコニコ動画にて中継）
https://t.co/iy1RR4IueG
皆様是非ご覧ください。そして書き込んでの応援よろ… https://t.co/vODu4O9UMM",,False,Sun Sep 16 10:23:29 +0000 2018,2411,1041271346917912576
59,Facebook,"「まことに小さな国が、開花期をむかえようとしている」
司馬遼太郎作「坂の上の雲」の冒頭です。
テレビドラマ化されご存知の方も多いと思いますが、その小説の舞台でもある愛媛県は松山市にやって参りました。... http://t.co/ze66q1UZTX",,False,Tue Jul 09 10:19:47 +0000 2013,153,354545407860277248
183,Twitter for iPhone,今池ガスビル前に移動。東郷哲也(@togotetsuya)候補の応援演説。景気回復、この道しかない！皆さんの大きなご支援をお願いします！#総選挙 http://t.co/muFyDYToow,,False,Mon Dec 08 09:49:03 +0000 2014,279,541892204155785216
16130,Twitter for iPhone,日本とロシアの間には、戦後70年以上を経た今も、平和条約が締結されていません。この異常な「戦後」を、私とプーチン大統領の手で終わらせる。この共通の大きな目標に向かって、日露関係は新しい時代に入ろうとしています。 https://t.co/KPFoHsuADR,,False,Mon Sep 10 21:18:46 +0000 2018,3976,1039261925509455872
15,Twitter Web Client,「経済財政諮問会議をなくしてしまったことがある。だから自民党政権時代にはしょっちゅうやっていた日銀と政府との対話がなくなっていることも大きな問題だ」（安倍晋三、公開討論会にて）,,False,Sat Sep 15 05:05:44 +0000 2012,34,246837180113235968
